Test,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
STAR Benchmarks,Washington Primary School,5,Math,2023-09-29,2023-11-29,19,19,19,13,0,0

Test,Grade,Subject,20-21 Fall,20-21 Winter,20-21 Spring,21-22 Fall,21-22 Winter,21-22 Spring,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
STAR Benchmarks,K,Language Arts,2,4,7,0,1,18,0,8,9,0,0,0
STAR Benchmarks,K,Math,0,0,0,1,0,0,1,0,1,0,0,0
STAR Benchmarks,1,Language Arts,21,33,35,21,36,38,21,38,43,27,0,0
STAR Benchmarks,1,Math,36,36,37,38,40,40,44,46,46,46,0,0
STAR Benchmarks,2,Language Arts,27,30,31,37,38,40,45,46,46,48,0,0
STAR Benchmarks,2,Math,28,31,32,38,39,40,45,46,46,49,0,0
STAR Benchmarks,3,Language Arts,30,32,32,35,35,35,41,41,42,46,0,0
STAR Benchmarks,3,Math,32,32,32,36,36,36,41,41,42,47,0,0
STAR Benchmarks,4,Language Arts,31,32,34,35,37,38,38,38,38,46,0,0
STAR Benchmarks,4,Math,31,32,34,35,36,38,39,39,38,46,0,0
STAR Benchmarks,5,Language Arts,36,37,38,34,34,34,41,40,40,36,0,0
STAR Benchmarks,5,Math,37,37,38,34,34,34,40,40,40,36,0,0
STAR Benchmarks,6,Language Arts,34,32,31,48,51,50,40,41,41,39,0,0
STAR Benchmarks,6,Math,33,33,32,49,50,52,40,42,41,39,0,0
STAR Benchmarks,7,Language Arts,36,36,39,36,36,32,57,54,58,44,0,0
STAR Benchmarks,7,Math,36,37,38,36,36,35,58,57,58,44,0,0
STAR Benchmarks,8,Language Arts,45,46,46,41,43,39,36,42,40,59,0,0
STAR Benchmarks,8,Math,45,46,45,41,42,41,42,41,41,58,0,0
STAR Benchmarks,9,Language Arts,65,68,71,77,79,79,93,0,0,0,0,0
STAR Benchmarks,9,Math,52,68,71,55,53,55,60,0,0,0,0,0
STAR Benchmarks,10,Math,0,0,0,3,0,0,0,0,0,0,0,0
STAR Benchmarks,11,Language Arts,0,0,0,0,0,0,1,0,0,0,0,0

